elite;level;exp;lmd;accumulated exp;accumulated lmd
0;1;0;0;0;0
0;2;100;30;100;30
0;3;117;36;217;66
0;4;134;43;351;109
0;5;151;50;502;159
0;6;168;57;670;216
0;7;185;65;855;281
0;8;202;73;1057;354
0;9;219;81;1276;435
0;10;236;90;1512;525
0;11;253;99;1765;624
0;12;270;108;2035;732
0;13;287;118;2322;850
0;14;304;128;2626;978
0;15;321;138;2947;1116
0;16;338;149;3285;1265
0;17;355;160;3640;1425
0;18;372;182;4012;1607
0;19;389;206;4401;1813
0;20;406;231;4807;2044
0;21;423;258;5230;2302
0;22;440;286;5670;2588
0;23;457;315;6127;2903
0;24;474;346;6601;3249
0;25;491;378;7092;3627
0;26;508;411;7600;4038
0;27;525;446;8125;4484
0;28;542;482;8667;4966
0;29;559;520;9226;5486
0;30;574;557;9800;6043
